id,certification,nudity,violence,profanity,drugs,intense_scene,game_id
41,Australia:MA15+  Australia:R18+ (re-rating)  France:18  Germany:16  Japan:D (CERO)  Mexico:C  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:16 (PEGI)  United States:M,--,A sword is depicted with many fleshy and bloody writhing tendrils covering it.,"The words ""damn"" and ""hell"" are used multiple times. ""Bitch"" is used a couple of times.",--,A monstrous like man begins to viscerally scream in pain as fire consumes him.,9437cc3e-e4be-4db9-b7ef-ba99f4573529
42,Australia:MA15+  Australia:R18+ (re-rating)  France:18  Germany:16  Japan:D (CERO)  Mexico:C  New Zealand:R13  Singapore:ADV16  South Korea:18  United Kingdom:16 (PEGI)  United States:M,--,"While the act is not shown, except for the aftermath, it is extremely implied that a woman has been tortured for many years.","A character says ""What a shit-show.""",--,There are abominations with several limbs that crawl around like a spider and have a paralyzed face like it was frozen as the face was screaming,9437cc3e-e4be-4db9-b7ef-ba99f4573529
43,Australia:R18+  Brazil:18  France:18  Germany:18  Japan:Z  Mexico:C  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United States:M,None,"Shooting enemies has rather bloody results, ranges from moderate to graphic",Strong language is present in the game spoken in both English and Spanish,Some characters are seen smoking,"This game while more action oriented is more intense than the original version as the enemies move and attack faster than before, the original game is very tame compared to this, the tone is very similar to that of Resident Evil Village (2021)",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
44,Australia:R18+  Brazil:18  France:18  Germany:18  Japan:Z  Mexico:C  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United States:M,None,Some gory and brutal death animations but not as bad as The Callisto Protocol or Dead Space death animations,"While the original game has some occasional strong language in Spanish, there is several uses of strong language in English in the remake, with some uses of ""Fuck"" in dialogue, alongside milder words such as "" shit"", ""bitch"", "" asshole"" are used. The language is on par with that in the Resident Evil 3 remake.",--,"Very creepy and haunting atmosphere, a lot scarier than the original game",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
45,Australia:R18+  Brazil:18  France:18  Germany:18  Japan:Z  Mexico:C  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United States:M,none,"If leon gets caught by Dr Salvador (the chainsaw man), he thrusts his chainsaw down his stomach and proceeds to cut leon up from his shoulder, lots of blood is shown, but there's no gore",--,--,"Rated R for strong bloody horror violence, grisly images, and language.",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
46,Australia:R18+  Brazil:18  France:18  Germany:18  Japan:Z  Mexico:C  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United States:M,none,"Much, much, MUCH more graphically violent, bloodier and gorier than the original.",--,--,"Not the scariest game, but the action theme works in its favour, but still very intense moments, and scary scenes, but not as scary as re 7, or the re 2 remake, which is very suspenseful horror.",cc8f6183-89ca-4a0d-b000-9a5df2c6e31d
163,Australia:M  Brazil:14  Germany:12  United Kingdom:16 (PEGI)  United States:T,"Players see a birth from perspective of a baby traveling through a pink tunnel. However, this's near the end.","Blood can be seen, violence may be found from time to time and not very intense Blood can be seen in some place such as part where you cut fish in Lewis's story. The game is based on a curse from a family that cause each one of them to die. Deaths will be seen frequently.","The word ""damn"" is used A middle finger is shown in game","Very infrequent showing of alochol, once or twice it is seen.",The game is based around a perceived curse that causes all but one member named Edith Finch to die in unusual ways. Some scenes can be sad and intense.,faf77828-592f-4dd2-9b8b-904a912efd46
162,Certification	 Australia:MA15+  Brazil:16  Finland:K-16  France:18  Germany:16  Japan:Z  New Zealand:R13  Philippines:R-16  Russia:18+  Singapore:M18  South Korea:18  Taiwan:R-15  Turkey:15+  United Kingdom:18 (PEGI)  United States:M,"Because the game is historical, there is a brothel in the game which show various obscure heiroglyphic drawings of random figures engaged in sex positions. This mission is optional, and is also not where the main portion of the quest is. Unless the player explores the brothel, these are not visible. Inside the brothel, there are many revealing outfits, mostly men who are practically naked. If the player only intends on completing the quest, these people are not visible as they are on a lower level from the player. However, the player can go to that section of the brothel and see those people. There is also a women with no top clothing(shirt/bra), but their breasts cannot be seen unless the player intentionally goes into camera mode and scrolls to that location. Women can sometimes, although rarely in game but commonly in brothels be skimply clothed It is however never intended to be sexualized and is shown because of historical accuracy since it was not uncommon to see women during the","Players use swords, knives, spears, axes, staffs and bow's to kill people and wild animals. Combat is violent and bloody and often resulting in brutal animations. A headless corpse is seen once. the wound is graphically shown. There are certain areas where corpses can be discovered in caves. Sometimes, you will hear cries of pain throughout combat. Players use bows to attack enemy characters and animals. One particular bow utilizes a slow motion arrow control camera that can help players perform precise shots. Players can be set enemies on fire with arrows. This is not graphic and the fire quickly disappears. But there definitely is some injury detail. The violence is similar to games like The Elder Scrolls games, Two Worlds or other medieval RPGs. There is an option to turn off the blood. The story revolves around cultural conflicts between the Egyptians and the Greeks. Players are required to hunt and kill various kinds of animals in order to craft equipment from their skins. Certain","Like previous games in the series, there is infrequent use of some strong language Multiple uses of ""fuck"" in cutscenes and gameplay. About 10-15 uses of ""shit"". Mild use of other words like ""damn"", ""bitch"", etc. also 1 use of the c word There is also a single use of the word c*nt. The c word is said once during a side quest","A bit of alcohol and no smoking, a character mentions an opium pipe. During one mission, Bayek gets drunk and awakes the next morning hung over. He stumbles around while the screen blurs and moves in and out of focus, although this does not last long.","More mature and historically accurate compared to previous games. The developers were willing to make the setting grittier. There are various scenes that may be considered frightening. The violence against animals could be upsetting to some. Players can explore tombs and pyramids that can at times be a little intense. Players will frequently need to pass through dark and claustrophobic corridors and certain areas may also be infested with beetles or vipers. Certain missions and free-roam encounters will lead players to come across mummies and corpses in various levels of decay, but with little detail shown. If a player travels in the desert for a certain amount of time, the game will begin to give ""hallucinations"", such as mirages of a burning bush or giant beetles raining from the sky. Some missions allow players to battle various Egyptian gods. These enemies tower at around fifty feet tall and portray the classic animal/human hybrid figures of Egyptian mythology, which could be a bit",fb420243-232e-4fe1-acfd-134f8427e515
164,Australia:MA15+ (2013)  Brazil:18  France:18  Germany:18 (episode 1)  Germany:16 (episodes 2-5)  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United Kingdom:16 (episodes 1-3)  United States:M,"The animation on this game forbids it from ever being explicit Episode 1 Faith gives Bigby a kiss on the cheek and walks away. We find out that Faith is a prostitute. Episode 2 We see posters of women covering their breasts and neon signs of women inside and outside of a strip club called Pudding N Pie. A very brief flash of nudity from a dancer In a hotel called ""The Open Arms"" that's used for prostitution; you choose to eavesdrop in on Room 203, you will then hear a woman is moaning and the sound of bed springs implying; the player can chooses to open the door, but he is quickly told to leave. When Beauty says she was on shift a certain day, her husband Beast gets confused and she replies saying she's not a prostitute. Episode 3 Nerissa is briefly seen topless for half of a second scene in the recap of season 2. Episode 4 There are references to prostitution. Some revealing clothing. Episode 5 Posters of women covering their breasts and neon signs of women inside and outside of the","The game has many violent scenes, including fist fighting and decapitating. Woody slaps Faith when Bigby comes into the apartment. Bigby and Woodsman then get into a fight, in which player can control Bigby to push Woodsman into a wardrobe, a bed or a closet. If player fails to do so, Woodsman can kill Bigby by swinging his pickage into Bigby's face. After the fight, Bigby and Woodsman jump out of the apartment. Bigby lands on Toad's car. Woodsman gets up, drags Bigby against a glass poster and stars strangling him. Faith then splits Woodsman's head by his pickaxe to stop him (Woodsman isn't dead). Toad is hit from behind (offscreen), blood comes from his nape. Prince Lawrence is seen dead. His body laying on the floor with a lot of blood. We can also see a knife with blood and some bullet holes at the crime scene. Bigby chases Dee to the end of an alley. Dum hits Bigby from behind, Bigby is unconscious. Player can choose to hit Woodsman by a glass, but no blood shown.","""Motherfucker"", ""shit"", ""damn"" is used very often This's telltales most graphic game when it comes to swearing. Extremely frequent uses of the word ""fuck"" throughout the entire game. Many uses of the word cunt both casually and sexually.","Bigby is seen smoking a lot. Bigby, Grendel and Woodsman met at a bar. They drink some wine. Colin is seen smoking. This scene is mostly played for laugh because Colin is a pig.","The game contains a dark theme which isn't suitable for children. There are many violent, distressing, shocking and brutal scenes, some of them can make the player feel depressed. This game is based on Fables comic, but it doesn't focus much on black comedy theme.",f44ed937-a134-4fda-a332-de4378df62b4
174,Australia:MA15+ (ACB)  Brazil:14 (DJCTQ)  Denmark:16 (PEGI)  Finland:K-16 (PEGI)  France:16  Germany:16 (USK)  Japan:C (CERO)  Norway:16 (PEGI)  Poland:16 (PEGI)  Singapore:G  South Korea:18 (GRAC)  Sweden:16+ (PEGI)  United Kingdom:16 (PEGI)  United States:T (ESRB),None,"Like all uncharted games, there are fistfights and gunfights. Little blood is seen, but no bullet wound.",Sh*t said twice. Damn is said infrequently.,Mild,Moderate,f200447d-95a6-46ff-ab93-ab1ba2158c44
184,None,Mild,Mild,Mild,None,MIld,c4b4e3af-76bc-4477-8cd6-94bb8901583c
197,Australia:MA15+  France:18  Germany:16  New Zealand:R16  Singapore:M18  United Kingdom:18 (PEGI)  United States:M,One character talks about chronic masturbation You can choose to romance one of two of the side characters but this never goes beyond kissing,"Extremely violent and gory, features dismemberment, detailed gunshot wounds, arrow wounds, etc, not for people with weak stoumachs At the start of the game, a dog, Rosie, will rush up to a walker (zombie) and crush it's head with her teeth, her teeth are then shown to be extremely bloody and she is getting ready to attack Clementine before Marlon stops her.","Strong language many uses of f.ck some said by a kid, a$$, sh.t, b.tch and many other mild profanitys",Abel smoking cigarette in a brief moment.,Severe,7d175438-da6b-4f60-8297-b2539ba58b8c
173,Australia:M  Brazil:16  France:18  Germany:16  Japan:D  New Zealand:M  Norway:18  Singapore:ADV16  South Korea:18  United Kingdom:18 (PEGI)  United States:M,"A neon sign with an arrow reads ""Live Nudes"" Contains mild to moderate sexual references throughout the game, mostly by criminals, but it can occasionally be referenced in dialogue. Catwoman frequently flirts with Batman, and she makes several suggestive comments throughout their encounters. Catwoman, Poison Ivy and Harley Quinn wear skimpy outfits. XXX signs are shown in the city. Some characters wear cartoonish outfits that accentuate their curves. There is a store in Gotham called ""Cuffs"", with the name in bright pink neon. While you can't enter or see inside, the name implies it's a fetish shop.","Some blood in crime scenes. The game has intense violence all throughout. This includes torture, fistfighting and gun violence. However none of it is graphic and not any worse than in the Batman movies. the violence in this game is mild becasue it has frightening crime scenes, bosses and more the character two-face is half burned, professor pyg cuts people and make them invulnerable to pain if they die during the cutting he hangs them around gotham with bandage and mask on. (not graphic) In the book based off the game, it mentions blood sprays, broken bones and cartilages. Lots of intense fighting where Batman can break and snap many bones of the enemy. The sound effects are quite brutal and the game will often use a slow mo camera angle to highlight the final attack Batman does to an enemy. Batman can now use the environment to take down thugs. Like for example, you can smash thugs' faces into electricity boxes, bust thugs' heads into light boxes on the ground Characters get shot on a","Infrequent use of goddamn ass and bitch The words ""jerk off"" and ""scumbag"" have been said a few times. There are several name calling such as : Fool, Idiot, Jerk, Moron, Dummy, Clown, Bastard, Bitch, Dumbass, Jackass, Freak, Butthead, Wanker, etc. Some of the language is used in a crudely sexual context. ""balls"", and ""tits"" have been used, however they are infrequent. Some minor British cusswords such as ""Bloody"" and are also used. Liberal use of profanity, including ""bitch"", ""bastard"", and ""ass"". Use of a f bomb in dlc missions Uses of hell, shit, bastard and idiot but there are mostly said by the criminals. Several Uses Of 'Bitch', 'Ass' (and variations thereof including 'dumbass' and 'jackass'), 'Arse', 'Piss' (including a few that is used in a context that crudely meant that someone leave the premises), 'Bastard', 'Damn', 'Hell', 'Gobshite', and 'Wanker'. ""Crap"" is said sometimes.",The penguin smokes a cigar in some scenes.,"There is a scene where Batman interrogates someone by using the wheel of the Batmobile to threat him. There are at least two scenes in which a character commits suicide. Not depicted in graphic detail. The hallucinations with Scarecrow can be disturbing. There are multiple hallcucinations throughout the game of a character getting tortured. These involve being beaten with a crowbar, being branded (offscreen) and being shot in the chest (injury is shown). There are multiple jumpscares scattered throughout, and Some may be less expected than others While the other entries in the Arkham series are debatably okay for younger kids, Arkham Knight is notably darker than all of its predecessors and thus is not suitable for kids. 14 is probably the minimum age for this game. There are a few jumpscares. Definitely the darkest of the Rocksteady Arkham Games. If it was rated T, it would be a very ard T. As an M, it is a light M. If this were a movie, it would be rated PG-13 for strong bloody viole",f25b5cfb-ecf7-4854-8630-cd979ca2a026
175,Australia:M  Brazil:16  France:16 (PEGI)  Germany:12  Japan:D (CERO)  New Zealand:R13  Singapore:M18  South Korea:18  United Kingdom:16 (PEGI)  United States:M,"The main character takes a shower, no nudity is shown. Nothing is shown but a character implies possible assault in a story she tells her friend. Though she said she managed to get away. In the same episode when entering a drug dealers RV; you can see a rather clear poster of two naked women kissing. You can also see a naked woman as someone's laptop wallpaper. If you observe closely you'll most likely find more posters similar to this. Some sexual innuendos. Girls are shown in their underwear in some parts. In the last episode there is some kissing between characters. It is implied the main character was in love with the missing girl.","Episode 1: A girl is shot with a gun, but you have to rewind time and save her. A girl is hit in the head with a rugby ball, but you can save her. A boy is shown being bullied. It isn't violent, but it is implied that they assaulted him. A character fights another, and the one who is your friend gets a bruised eye. Episode 2: It is mentioned that a man died in a car accident. One character has a gun and in a part of the game you go with her and play with the weapon and the time. She asks you to shoot something and if you choose incorrectly, the bullet rebounds in the direction of your friend (the character who shot it) and gets injured. A girl is stuck on a train rail and if you don't save her, the train kills her, although you only see the train near the girl and orders you to rewind time. A character is shown attempting suicide, although you rewind time and you can save her by speaking with her. Howeve if you chose incorrectly, she will fall off the building and die. Not very graphic","Around 90 uses of ""fuck"", 1 use of ""cunt"", several uses of ""shit"", and about 5 uses of ""motherfucker"" Depending on the choices you make, someone may end up calling the main character a 'dumb cunt.'","A girl smokes weed in her bedroom. It's discussed many times that a girl was drugged at a party, but luckily got away. Some of the characters are drug consumers and drugs are discussed many times through the game. Some drinking is shown in diferent scenarios. At a party, some people are drinking. Some of them are swearing. We also can speak with some people that are drunk. For example, a very good friend of the main character is drunk when we speak with him. The villain injects a syringe in the neck of the main chracter. Finishing ""Episode 4"", in the teaser of the next episode, a man is shown preparing a syringe and the main charater asks mercy.","Many players report this game to be quite depressing because of its sad character deaths and its implications that our choices we make as people can have devastating unintended consequences. Although it's an exploring adventure game with a sci-fi tone, it has a dramatic mood with very emotional, intense, shocking and disturbing moments. Although there are some lighter, happier and funny moments to make it more pleasant. Some intense moments like the escape from the academy and discussions. The final scenes of Episode 3 and 4, and opening scenes of Episode 4 are highly emotional and gut wrenching. The final episode (Episode 5) has a very sad tone, with plenty of weird and quite heart-wrenching moments. The episode is emotionally very intense.",f06d540a-ed32-48e4-9615-261c47e24047
191,"Australia:R18+  Brazil:16  France:18 (PEGI)  Germany:18  Japan:D (CERO, edited version)  Japan:Z (CERO, uncut)  New Zealand:R18  Russia:18+  Singapore:M18  South Korea:18  United Kingdom:18 (PEGI)  United States:M (ESRB)",Naked dolls around. A boss fight with a female character involves her being grossly mutated and having a hive of insects that looks to be in between her legs. It's also a weak spot that players can shoot.,"The player can have their hand and/or foot cut off with a chainsaw. The player then retrieves their severed body part as an item. Not as violent as Outlast, but still very brutal. Lots of violence. This game is one of the most brutal ""Resident Evil'' games ever made. Whenever a humanoid enemy is shot, stabbed, etc., blood sprays and a wound is seen where they were shot/stabbed/etc. Whenever the player is attacked, blood is seen on whatever weapons the enemy was using. Andre is stabbed through the mouth with a metal bar. It happens offscreen. A man is stabbed through the hand with a knife. You can get attacked by a man with a chainsaw. Ethan is suddenly attacked by his wife Mia with a chainsaw and with a piece of wood, Ethan has no choice but to fight back with an ax, this fight is very bloody and brutal but it should be noted that Ethan is acting in self defense The Baker family is seen eating what seems to be human organs. Jack attempts to force-feed Ethan, but he rejects it, then get","The words ""f**k"" and ""sh*t"" are heard in dialogue. Alongside Revelations 2, this easily has the most swearing out of any game in the series. Several profanities in the Japanese dialogue. In the whole game about 60 uses of f*ck same amount as the call of duty black ops game series. Also a few uses sh*t. LOTS of profanity. Plenty of uses of the F word and other profanities.","Unlabeled bottles can be found around the main house. Presumably alcohol. The player can craft med-kits to heal themselves using herbs and ""chem fluid."" You can also find steroids throughout the game, which give you a permanent health boost.","The game is especially intense in virtual reality. This is one of if not the most intense Resident Evil games ever made. Previous titles, while scary at times, always had a corny B-Movie feel to them while this one is much darker and violent. At times it can feel like a black comedy of sorts, but it is still intense. The whole game is filled with scary imagery and effective jump scares. Not for the faint of heart. The game is scary, but not as disturbing and terrifying as Outlast. If this game were a movie, it would be Rated R for Strong Bloody Violence throughout, for Disturbing Content, and Pervasive Language. By far the scariest game in the series The Baker Family are extremely scary in terms of personality and actions, though they're also quite darkly comedic. The house is very scary, with lots of decayed and disgusting stuff strewn about. The Molded are very deformed and scary looking, not to mention they're also VERY hard to kill. There's also molded stuff on the walls and other",92ec0f8e-b0b0-4c7b-967c-d13599a5ff21
176,"Argentina:18  Australia:R18+ (ACB)  Brazil:18 (DJCTQ)  France:18  Germany:18 (PEGI)  Japan:Z (CERO, censored)  Mexico:C (SMECCV)  New Zealand:R18 (OFLC)  Portugal:M/18 (PEGI)  Portugal:M/16 (original rating)  Saudi Arabia:(banned)  Singapore:M18  South Korea:18 (GRAC)  Taiwan:R-18 (GSRR)  United Kingdom:18 (PEGI)  United States:M (ESRB)","Two girls make out passionately and later they are seen in their underwear cuddling, implying they had sex. While in their underwear, one of the girls jumps on top of the other, but they are interrupted. A racy photo becomes a plot point during one section of the game, and in the photo can be seen a woman pulling up her shirt to reveal her abdomen and bottom of her bra. The photo comes with a letter to someone explaining it is to ""hold (them) over"" until they get back together. A note can be found containing crude drawings of breasts and penises, with varying sizes and hairiness. The doodle was done in an act of boredom and is mainly comedic. Some infected are partially, or fully nude, including exposed breasts At a community gathering two girls make out on the dance floor, as a result are insulted by an old man using a homophobic term. Male Clickers have genitals. In one scene, a young woman sits topless with her back to the camera. The side of one breast is briefly visible. There are","Enemies can be graphically blown apart and shot with realistic gore and blood physics that follow. Due to the incredible detail and life like graphics, the violence is disturbing and enchanced Melee is brutal as enemies can be bashed, cut, slashed, and impaled with a variety of melee weapons such as wrenches, planks, bats, knives, machetes, fists, etc. All animations and blows are disturbing violent and realistic unlike most games of this genre, and it's accompanied with extremely graphic and gruesome sounds. There's no cartoonish tone, and it's very graphic. Violence and gore is worse than games such as red dead redemption 2 and resident evil and is even more violent than the first game Enemies die with an overuse of blood and gore for dramatic effect. Extreme violence and gore, much like the original. Violence is very often and extremely brutal and gory. People are Stabbed, Shot, Burned, Impaled, and Beat to death throughout the game. This games is extremely gory and violent. More so","There is swearing throughout the whole game The word cunt is used Very frequent 237 uses of fuck and infrequent uses of cunt Swearing throughout the whole game. A homophobic slur is used once, and is used with intent to upset a character Strong and mild language throughout.","One sequence depicts two characters smoking a marijuana joint in a room full of marijuana plants. There are references to weed usage, and bongs are seen by themselves and affixed to a gas mask for optimal dopeage. In a flashback scene, which takes place during a dance, Ellie is seen standing at the bar drinking alcohol. Two girls start smoking weed A man tells a woman that he intends on lying on a couch, watching a movie and drink until he passes out. It's heavily implied that he means drinking alcohol.","The game is extremely intense, frightening, disturbing & upsetting, and the ending can be sad to most audiences. The story deals with mature themes, including animal deaths, torture, graphic violence and cult activity, and may be disturbing. Only for ages 18 and up. There are several sections where the confrontations with the infected are very intense and frightening, e.g. in dark basements or underground car parks. The game is a violent and dark story surrounded by themes of moral ambiguity, post-traumatic stress disorder, rage, hatred, revenge, torture, cult activity, animal cruelty and guilt. Appropriately enough for this, the tone is relentlessly dark and incredibly bleak. The Last of Us: Part II is filled with lots of extremely graphic and brutally disturbing violence which may be nauseating for some. Overall, this game is extremely depressing and at times hard to play.",eb02b546-e3a7-4386-b8e9-d1576fcfe641
188,United States:Not Rated,There is some scenarios that have disgusting naked things or mud in them.,Extreme violence,None,"There are many moments of seeing a ton of alcohol bottles on the ground. In one scenario, you run really fast, this feels like your on coke. Some scenarios feel like your hallucinating drunk or on drugs.",Very intense and frightening scenes throughout. The crying sounds from Lisa is very creepy and may distress and disturb anyone under sixteen.,ace9041e-a0fe-47b8-b0cc-8ec09c19e727
199,Australia:M  Australia:MA15+ (re-rating)  France:16  Germany:16  Japan:C (CERO)  New Zealand:M  Singapore:ADV16  South Korea:12  United Kingdom:16 (PEGI)  United States:T,None,"No blood, or gore, but players can freely kill stormtroopers, slashing them, and using force abilities. Not too violent",None,None,Moderate,770014fc-5129-412a-82a9-2a90e89c0600
177,Australia:MA15+  Austria:18 (PEGI)  Brazil:18  France:18 (PEGI)  Germany:16 (USK)  Japan:Z  New Zealand:R16  Singapore:M18  South Korea:18  Taiwan:R-15  United Kingdom:18 (PEGI)  United States:M,"The player can have romances with female/male characters; some kissing is shown. Some kissing shown During the main story missions players can be proposed by a male character (Alkibaiades). Depending on gender. He flirts with you. Not too bad. There are at least 14 characters in the game that can be ""romanced"". Nothing more than kissing. Some side quests have mild to moderate sexual content, one has a mother request that the player character ""train"" her daughter of kissing, another (handle with care) has mention of a cast of a man's genitalia (crudely referred to) although you don't see it. After returning to the quest giver there is pretty obvious innuendo and well as proposition (which is completely up to the player to accept) There are no major love storylines in Odyssey.","Combat is frequent and bloody although you can turn it off. The assassinations are bloody and brutal. Blood stains your hands, weapons, clothes and the environment but it will eventually disappear. A character gets stabbed in the face with a spear, as well as very infrequent dismemberment in cut scenes Enemies can be attacked by an eagle. Blood can often be really unrealistic looking like something from the year 2000. There although Is still blood sometimes.","Both Greek and English swearing reaching from prick to sh*t on rare occasions. idiot, stupid. One use of pr*ck in Greek language. Mild to moderate use of F*** and F***ing in the main missions but are fairly few considering the playtime. Side quests can be fairly vulgar at times but not often. Some characters infrequently yell ""F*** I'm burning!"" when lit on fire, but it's easily missed",A Character can be seen drinking; Easy to miss People can be seen drinking. The player consumes alcoholic substances in cutscenes.,Monsters of the Greek mythology can be really scary. The player can find themself stuck into very stressful situations. Often very intense. Many situations can be stressful. Some character deaths can be really upsetting. Some gameplay involves the risk of drowning and being attacked by sharks.,e7ae15b8-6a9e-40f8-aeba-e384dfc5fb37
178,Australia:MA15+  Australia:R18+ (re- rating)  Brazil:16  Canada:18  France:18  Germany:16  Ireland:18  Japan:R-18  New Zealand:R16  Singapore:M18  Sweden:18  United Kingdom:18 (PEGI)  United States:M,At the beginning of the game Amanda Ripley emerges from hypersleep wearing panties and a shirt. It is brief and in no way sexualized. There are some posters in the worldspace that are meant to be public health posters. They contain text that is supposed to make the viewer question how much they know their sex partner. This is clearly a bid to try and get people to use protection to prevent the spread of STDs.,"Towards the start of the game, a male is impaled and dragged into a vent by the xenomorph. (This is very sudden and the first partial interaction with the alien). People can also be killed by the player, although you are not encouraged to do so, only as a last resort. When enemy NPCs are shot. Splattters of blood are seen comming out, and can decorate the wall behind the NPCc if standing near a wall Although violence is part of the game, it is used sparingly and deliberately. From a first-person perspective, players explore the station's rooms and corridors and use various means to fend off the Alien. Players can craft gadgets or obtain weapons throughout the game, which can be used to keep the Alien at bay or to deactivate working Joes. When Ripley is spotted by the Alien, a short animated cutscene depicts her getting knocked down and killed by the Alien. Sometimes she is stabbed through the chest by the Aliens tail, which causes a disturbing cutscene of her death. Corpses of people t","The words ""fuck"" and ""shit"" appear in the dialogue. But only in short bursts and not all the time. Most of the time you would be sneaking around the spaceship not saying anything.","One of the items the player can craft is the medkit. In order to use it, Ripley injects herself with the crafted syringe and is instantly healed. Aside from empty cans of beer and used cigarettes, there are also bottles of ""ethanol"" that can be picked up throughout the game. These bottles are actually a crafting material for items such as Molotov cocktails. Ripley never drinks from these.","The Xenomorph is an extremely frightening and sinister presence. This is commonly referred to as one of the scariest games of all time. This game is faithful to its source material, that being the iconic Alien franchise. Much like the films, this game is quick to send a shiver down your spine, especially from your primary enemy, the xenomorph. His incredible AI makes running away a death sentence. Your only hope is to hide. Hope you have some undergarments handy, cause this game will soil your pants faster than any over-the-counter laxative available. This game is a horror survival game, much like Amnesia: The Dark Descent. As Amanda, you are actively hunted by the Alien, which will stalk you constantly. You have no means of killing the creature (only making it retreat for a while by using certain weapons) and are, for the most part, defenseless. The androids in the game, working Joes, are very disturbing. They have glowing eyes and repeat disturbing lines while they attack/stalk you.",d739700b-a316-46e8-abb6-cac4a204a6d9
179,Argentina:M  Australia:MA15+  Brazil:16  France:18 (PEGI)  Germany:16 (USK)  Japan:D (CERO)  New Zealand:R16  Russia:18+  Singapore:M18  South Korea:18  Taiwan:R-18  United Kingdom:18 (PEGI)  United States:M (ESRB),"There are strip clubs which depict semi-nude female androids. Nothing bad is ever seen. There is a crime scene that describes a specific sex act between human and androids. Shirtless males in underwear are also shown. In one scene, a man is briefly seen smoking a (fictional) drug from a pipe. But the sounds he makes as he smokes could be mistaken for an orgasm to someone that doesn't see him smoking. In Zaltko's basement, a topless female android can be seen in the back of a cell, but it is mostly obscured by the darkness and easy to miss on a regular playthrough, No detail is shown on the android at all. a man says that a pervert may have gotten too much action you have to fight women who are in revealing clothes Markus forcefully kisses North so the police don't suspect them, she is then very angry he did and he says sorry. There's a whole chapter in a nightclub where half-naked females and males show up and can't be skipped.","When an android gets shot, blue oil spills There are interactive slow motion action sequences which includes bloody shootings and stabbings as well as some brutal hand to hand combat. A child has an abusive relationship with her father. One of the most intense moments in the game occurs when she is repeatedly beaten by her father (offscreen). Even though there are no injuries depicted, it is still very shocking and disturbing. As this is happening, the player can choose to intervene. From a third-person perspective, players explore environments, examine crime scenes, and perform tasks while navigating conversations and events with other characters. Some sequences depict characters punching, kicking, stabbing, or shooting one another (occasionally seen in slow-motion); characters (including police officers) may also be executed in a handful of scenes. One dramatic sequence involves a man striking a child across the face; players later hear an audio of a man whipping the child with a bel","The words ""f*ck"" and ""sh*t"" appear in the dialogue every so often. The game would be rated T if there was not so much cussing and the violence is not shown in full detail","During the course of the game, there are several references to a drug called ""Red Ice,"" a fictional version of methamphetamines; one character can be seen smoking the drug from pipe. Todd gets very mad at one point and starts using red ice (the games drug) by breathing it in. There is a drug mainley used in this game called red ice and it can be snorted inhailed or injected all ways are not graphic. the game also revolves around this drug by a lot of mad people using it","Kara can rob a man's clothes but if she fails he will wake up, very intense. Because of the highly immersive nature of the game, violence that would be considered mild in other video games is much more intense and disturbing as it takes place in a much more interactive context. While there is no gore and only some blood throughout, there are scenes depicting abuse and other acts of violence so the game takes on a much more serious tone. 16+ should be fine.",d1c2404d-5bcf-4bff-a3f3-359b3439a8cc
192,Australia:R18+ (ACB)  France:18  Germany:18 (USK)  Japan:Z (CERO)  New Zealand:R18 (OFLC)  Russia:18+ (RARS)  South Korea:18 (GRAC)  Taiwan:18+ (GSRR)  United Kingdom:18  United States:M (ESRB),Ellie and Riley kiss,"A girl slits a clickers throat with a knife. Very detailed sight of the wound and spurting blood. Players use a variety of weapons against a handful of human and infected enemies, blood gushes from wounds, and enemies cry out in pain when struck.","Frequent use of the F-Word and many uses of mild language, most of which said by teenage girls","Contains underage drinking. Throughout the game, the player can find alcohol. Ellie and Riley find a bottle of whiskey and drink some. Ellie spits it out in disgust.","Some scary moments with the infected, intense combat throughout. Very emotional ending.",91645569-825d-4cbd-aae7-ec0be78132ec
